datetime,Open,High,Low,Close
2024-04-09 10:45:00,22755.775,22760.75,22743.75,22752.9125
2024-04-09 11:00:00,22753.575,22753.575,22727.2,22739.075
2024-04-09 11:15:00,22738.05,22747.05,22727.1,22735.725
2024-04-09 11:30:00,22734.375,22757.5,22734.375,22743.3375
2024-04-09 11:45:00,22740.425,22748.8,22736.9,22743.8
2024-04-09 12:00:00,22744.75,22750.0,22708.85,22731.275
2024-04-09 12:15:00,22733.125,22733.125,22701.65,22715.625
2024-04-09 12:30:00,22716.675,22716.675,22668.95,22696.15
2024-04-09 12:45:00,22700.5,22706.55,22686.8,22694.6625
2024-04-09 13:00:00,22692.65,22700.0,22682.15,22691.0375
2024-04-09 13:15:00,22691.0,22691.0,22654.25,22675.1
2024-04-09 13:30:00,22680.15,22680.15,22651.35,22664.45
2024-04-09 13:45:00,22664.575,22664.575,22640.95,22652.55
2024-04-09 14:00:00,22652.475,22659.05,22616.1,22636.2375
2024-04-09 14:15:00,22634.9,22671.9,22612.25,22638.5875
2024-04-09 14:30:00,22635.1,22652.65,22619.4,22639.4875
2024-04-09 14:45:00,22642.95,22655.65,22633.35,22643.65
2024-04-09 15:00:00,22642.8,22652.3,22633.9,22644.7625
2024-04-09 15:15:00,22646.425,22652.35,22639.15,22643.9
2024-04-10 09:15:00,22642.05,22726.6,22642.05,22710.6125
2024-04-10 09:30:00,22718.575,22727.25,22702.3,22716.3375
2024-04-10 09:45:00,22717.9,22722.7,22683.7,22706.5625
2024-04-10 10:00:00,22709.925,22709.925,22680.35,22699.4125
2024-04-10 10:15:00,22704.575,22715.25,22690.35,22701.6375
2024-04-10 10:30:00,22700.475,22713.0,22692.8,22700.9
2024-04-10 10:45:00,22698.9,22706.1,22695.7,22702.225
2024-04-10 11:00:00,22703.55,22720.05,22702.3,22707.75
2024-04-10 11:15:00,22704.325,22707.45,22673.7,22691.9125
2024-04-10 11:30:00,22693.25,22698.25,22679.9,22686.025
2024-04-10 11:45:00,22682.975,22700.2,22678.8,22688.9
2024-04-10 12:00:00,22688.3,22708.45,22688.3,22699.5
2024-04-10 12:15:00,22699.175,22705.75,22691.4,22701.025
2024-04-10 12:30:00,22703.475,22707.6,22697.05,22702.1625
2024-04-10 12:45:00,22702.0,22704.85,22691.45,22699.3
2024-04-10 13:00:00,22700.45,22721.15,22694.55,22707.1375
2024-04-10 13:15:00,22706.425,22737.85,22706.425,22722.575
2024-04-10 13:30:00,22721.325,22744.45,22721.325,22735.0
2024-04-10 13:45:00,22735.3,22745.3,22711.15,22734.3
2024-04-10 14:00:00,22740.375,22741.2,22720.15,22730.1
2024-04-10 14:15:00,22729.525,22744.5,22718.3,22731.8375
2024-04-10 14:30:00,22732.275,22751.95,22732.2,22742.5375
2024-04-10 14:45:00,22743.0,22752.05,22729.85,22742.5375
2024-04-10 15:00:00,22744.125,22775.7,22741.15,22752.9125
2024-04-10 15:15:00,22747.4,22755.65,22730.6,22743.7625
2024-04-12 09:15:00,22744.4,22744.4,22657.2,22692.775
2024-04-12 09:30:00,22697.825,22726.45,22624.85,22676.625
2024-04-12 09:45:00,22677.6,22677.6,22632.5,22646.1375
2024-04-12 10:00:00,22644.2,22660.95,22626.5,22644.9875
2024-04-12 10:15:00,22646.25,22648.2,22627.65,22641.5625
2024-04-12 10:30:00,22645.2,22665.95,22641.4,22655.1875
2024-04-12 10:45:00,22656.7,22666.75,22650.0,22659.5625
2024-04-12 11:00:00,22660.75,22666.2,22651.1,22658.6375
2024-04-12 11:15:00,22658.625,22688.6,22656.1,22668.475
